img,model_name,price,rating,specs_score,generation,core_and_thread,ram,rom,graphic_card,size_and_resolution,os,warranty
https://cdn1.smartprix.com/rx-i8wnJUkj6-w280-h280/dell-14-latitude-344.webp,Dell 14 Latitude 3440 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),"₹34,780",4.5,50Spec Score,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Graphics,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-i5kQ3lg02-w280-h280/dell-inspiron-14-544.webp,Dell Inspiron 14 5445 Laptop (AMD Ryzen 7 8840U/ 16GB/ 512GB SSD/ Windows 11 Home),"₹64,990",4.55,60Spec Score,8th Gen AMD Ryzen 7 8840U,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iyJ0famiB-w280-h280/infinix-inbook-air-p.webp,Infinix Inbook Air Pro Plus XL434 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),"₹49,990",4.1,57Spec Score,13th Gen Intel Core i5 1334U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iV9o9ytsW-w280-h280/hp-zbook-firefly-14.webp,HP ZBook Firefly 14 G10 8F6D3PA Workstation Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Pro),"₹88,499",4.05,68Spec Score,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA RTX A500,"14 inches, 1920 x 1200 pixels",Windows 11 OS,3 Year Warranty
https://cdn1.smartprix.com/rx-iBHS4DHZe-w280-h280/lenovo-thinkpad-e14.webp,Lenovo ThinkPad E14 21JRS0H200 Laptop (AMD Ryzen 5 7530U/ 16GB/ 1TB SSD/ Win11 Home),"₹57,400",4.05,68Spec Score,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,1 TB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-irGgpFgbD-w280-h280/acer-aspire-3-a324-5.webp,Acer Aspire 3 A324-53 UN.34RSI.002 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹30,790",4.0,46Spec Score,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iEOg45Rqh-w280-h280/lenovo-legion-pro-5.webp,Lenovo Legion Pro 5 16ARX8 82WM00FEIN Gaming Laptop (AMD Ryzen 9 7945HX / 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,52,425",4.1,82Spec Score,7th Gen AMD Ryzen 9 7945HX,"16 Cores, 32 Threads",16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA Geforce RTX 4060,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iEOg45Rqh-w280-h280/lenovo-legion-pro-5.webp,Lenovo Legion Pro 5 16ARX8 82WM00FFIN Gaming Laptop (AMD Ryzen 9 7945HX / 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹2,01,490",4.5,82Spec Score,7th Gen AMD Ryzen 9 7945HX,"16 Cores, 32 Threads",32 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA Geforce RTX 4070,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-ibzqrLZ3f-w280-h280/dell-inspiron-7440-2.webp,Dell Inspiron 7440 2 in 1 Laptop (13th Gen Core i5-1334U/ 16GB/ 512GB SSD/ Win11),"₹66,990",4.45,62Spec Score,13th Gen Intel Core i5 1334U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,Intel Graphic,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-itRTRGt0o-w280-h280/dell-inspiron-7440-l.webp,Dell Inspiron 7440 Laptop ( 12th Core Core i7/ 16GB/ 512GB SSD/ Win11),"₹77,990",4.55,61Spec Score,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB RAM,512 GB SSD,Intel Graphic,"14 inches, 2240 x 1400 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-ifeHrrDnu-w280-h280/lenovo-thinkpad-e14.webp,Lenovo Thinkpad E14 G4 21E3006XIG Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Pro),"₹81,990",4.55,59Spec Score,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 Pro OS,3 Year Warranty
https://cdn1.smartprix.com/rx-iOZEXNWpi-w280-h280/hp-victus-15-fa1402t.webp,HP Victus 15-FA1402TX Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹75,350",4.65,69Spec Score,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050A,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-ihquJzQxy-w280-h280/acer-chromebook-cb31.webp,Acer Chromebook CB315-4H Laptop (Intel Celeron N4500/ 8GB/ 128GB eMMC/ Chrome OS),"₹20,990",4.45,,Intel Celeron Dual Core N4500,"Dual Core, 2 Threads",8 GB LPDDR4X RAM,128 GB eMMC Storage,Intel Integrated UHD,"15.6 inches, 1080 x 1920 pixels",Chrome OS,1 Year Warranty
