Laptop_Brand,OS,CPU_Power,Generation,RAM_size,RAM_technology,Capacity(in GB),Storage_Type,GPU_Brand,GPU_Type,Touch_Screen,screen_size_category,Display_quality,warranty_group,Performance per price
Samsung,Windows 11 ,48.0,Intel Core,8.0,LPDDR4X,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0011907597046915933
Asus,Windows 11 ,48.0,13th Gen,16.0,RAM,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0012002667259390976
Acer,Windows 11 ,80.0,Intel Core Ultra,16.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0008668111351891982
Dell,Windows 11 ,30.0,13th Gen,8.0,RAM,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0011821764170960897
Lenovo,Windows 11 ,32.0,7th Gen,24.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009490436560081764
HP,Windows 11 ,128.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008251031378922366
Asus,Windows 11 ,96.0,13th Gen,16.0,DDR4,1024,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0009017871782259387
HP,Windows 11 ,352.0,Intel Core Ultra,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.000693189695337447
HP,Windows 11 ,128.0,AMD Ryzen,24.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.000451009869926139
MSI,Windows 11 ,576.0,Intel Core Ultra,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,high,0.0005091217649554518
MSI,Windows 11 ,128.0,AMD Ryzen,16.0,DDR5,1024,SSD,AMD,Dedicated,0,Medium,Full HD,high,0.0005357621216180017
HP,Windows 11 ,256.0,Intel Core Ultra,32.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.00048698475273928923
Acer,Windows 11 ,128.0,7th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0014418939975348263
MSI,Windows 11 ,256.0,Intel Core Ultra,32.0,LPDDR5,1024,SSD,NVIDIA,Dedicated,1,Medium,High Resolution,high,0.00040596069112332293
HP,Windows 11 ,64.0,Intel Core Ultra,16.0,LPDDR5X,1024,SSD,Intel,Integrated,1,Medium,High Resolution,low,0.0006234306000519526
HP,Windows 11 ,,Qualcomm Snapdragon,16.0,LPDDR5X,1024,SSD,Qualcomm,Integrated,1,Medium,Full HD,low,0.0007223225447978886
Asus,Windows 11 ,384.0,14th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0005448651631146976
Lenovo,Windows 11 ,96.0,12th Gen,12.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009673717002787343
Acer,Windows 11 ,80.0,Intel Core Ultra,16.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0008982746347581437
HP,Windows 11 ,72.0,5th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0013152804642166344
HP,Windows 11 ,72.0,5th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0011962616822429907
Asus,Windows 11 ,576.0,Intel Core Ultra,64.0,DDR5,2048,SSD,NVIDIA,Dedicated,0,Large,Full HD,low,0.0002177826173914976
Lenovo,Windows 11 ,96.0,12th Gen,16.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0011752577319587628
Asus,Windows 11 ,96.0,13th Gen,32.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0010879101596771364
Apple,Mac ,,Apple M4,24.0,RAM,512,SSD,Apple,Integrated,0,Medium,High Resolution,low,0.0003250203137696106
HP,Windows 11 ,72.0,8th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0010644903752328573
HP,Windows 11 ,48.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.001480860575579771
Asus,Windows 11 ,192.0,12th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009127104855884337
Gigabyte,Windows 11 ,160.0,13th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,high,0.0009474930911962101
Lenovo,Windows 11 ,120.0,12th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0014357338195077484
Infinix,Windows 11 ,48.0,12th Gen,8.0,LPDDR4X,256,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0015005001667222407
HP,Windows 11 ,32.0,7th Gen,8.0,LPDDR5,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0015342465753424657
