Img,Name,Price,Rating(out of 5),Specs_Score(out of 100),OS,Core,Thread,Screen_Size(in inches),Screen_Resolution(in pixels),Touch_Screen,warranty(in years),RAM_size,RAM_technology,GPU_Brand,GPU_Model,GPU_VRAM,GPU_Type,Capacity,Storage_Type,Generation,Brand,Family,Model
https://cdn1.smartprix.com/rx-iVmeTtYrm-w280-h280/lenovo-v15-g4-83cr00.webp,Lenovo V15 G4 ‎83CR000VIN ,42999,4.5,63,Windows 11 ,8.0,16.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR4,AMD,Radeon Graphics,Shared/Unknown,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 7,7730U
https://cdn1.smartprix.com/rx-iKqCat16t-w280-h280/hp-omen-16-xf0060ax.webp,HP Omen 16-xf0060AX Gaming ,109990,4.7,78,Windows 11 ,8.0,16.0,16 , 1920 x 1080 ,0,1,16 ,DDR5,NVIDIA,GeForce RTX 4060,8 GB,Dedicated,1 TB,SSD,7th Gen,AMD,Ryzen 7,7840HS
https://cdn1.smartprix.com/rx-icQBt84yD-w280-h280/asus-vivobook-15-x15.webp,Asus Vivobook 15 X1504VA-BQ332WS ,39990,4.2,53,Windows 11 ,6.0,8.0,15.6 , 1920 x 1080 ,0,1,12 ,RAM,Intel,Integrated  Graphics,Shared/Unknown,Integrated,512 GB,SSD,13th Gen,Intel,Core i3,1315U
https://cdn1.smartprix.com/rx-iMaIEDS3e-w280-h280/infinix-xbook-b15-bl.webp,Infinix XBOOK B15 BL51A5 ,28990,4.6,61,Windows 11 ,6.0,12.0,15.6 , 1920 x 1080 ,0,1,8 ,DDR4,AMD,Radeon,Shared/Unknown,Dedicated,512 GB,SSD,5th Gen,AMD,Ryzen 5,5500U
https://cdn1.smartprix.com/rx-isuTscTUn-w280-h280/dell-g15-5530-gn5530.webp,Dell G15-5530 GN5530D83M6002ORB1 Gaming ,67218,4.1,66,Windows 11 ,10.0,16.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR5,NVIDIA,GeForce RTX 3050,6 GB,Dedicated,512 GB,SSD,13th Gen,Intel,Core i5,13450HX
https://cdn1.smartprix.com/rx-iviTQcGcE-w280-h280/lenovo-yoga-pro-7-au.webp,Lenovo Yoga Pro 7 Aura Edition 83KF001LIN ,130190,4.35,82,Windows 11 ,16.0,16.0,14.5 , 3000 x 1876 ,1,1,32 ,LPDDR5x,Intel,Integrated  Arc Graphics,Shared/Unknown,Integrated,1 TB,SSD,Intel Core Ultra,Intel,,285H
https://cdn1.smartprix.com/rx-idDHWly8l-w280-h280/acer-travel-lite-tl1.webp,Acer Travel Lite TL14-42M ,31800,4.3,61,Windows 11 ,4.0,8.0,14 , 1920 x 1080 ,0,1,16 ,DDR4,AMD,Radeon Graphics,Shared/Unknown,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 3,7330U
https://cdn1.smartprix.com/rx-iUMIJg1DR-w280-h280/hp-15-fc1004au-lapto.webp,HP 15-fc1004AU ,41994,4.5,61,Windows 11 ,6.0,12.0,15.6 , 1920 x 1080 ,0,1,8 ,DDR5,AMD,Radeon,Shared/Unknown,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 5,7535HS
https://cdn1.smartprix.com/rx-iNPbbS6Eu-w280-h280/lenovo-v15-g4-83cq00.webp,Lenovo V15 G4 ‎83CQ0006IN ,28390,4.55,54,Windows 11 ,4.0,8.0,15.6 , 1920 x 1080 ,0,1,8 ,LPDDR5,AMD,Integrated  Radeon 610M,Shared/Unknown,Integrated,512 GB,SSD,7th Gen,AMD,Ryzen 3,7320U
https://cdn1.smartprix.com/rx-iAAsGnkgW-w280-h280/hp-victus-15-fa1134t.webp,HP Victus 15-fa1134TX ,79999,4.35,73,Windows 11 ,10.0,16.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR4,NVIDIA,GeForce RTX 4050,6 GB,Dedicated,512 GB,SSD,12th Gen,Intel,Core i7,12650H
